año,conglome,vivienda,hogar,ubigeop,codperso,mhogar,sexo,edad,estciv,reljh,ocu500,ocupinf,emplpsec,htop,htos,gnestudios,fac500a,ubidpto,htsemps,hocios,salanual,salsem,dominio,estrato,pobreza,estrsocial,zona,inghogpc,gashogpc,inghogpcs,gashogpcs,ln_salsem,ln_inghogpcs,ln_gashogpcs
2022,008610,015,11,190113,02,1,1,36,6,11,1,2,NA,0,NA,10,58.2881126403809,19,0,168,34411,659.936443887854,5,3,3,4,Urbana,13801.0677083333,11144.6744791667,264.677793301357,213.733307490889,6.49214353324399,5.57851321187681,5.36472901115753
2022,008610,052,11,190113,01,1,1,53,2,1,1,2,NA,77,NA,6,47.6377029418945,19,77,91,50508,968.64577919525,5,3,3,4,Urbana,13738.798828125,5575.791015625,263.483596580263,106.932890491802,6.87589899211392,5.57399111397636,4.67220144602953
2022,008610,052,11,190113,04,1,2,17,6,3,1,1,1,6,NA,6,45.5650825500488,19,6,162,224,4.29588688009298,5,3,3,4,Urbana,13738.798828125,5575.791015625,263.483596580263,106.932890491802,1.45765802541039,5.57399111397636,4.67220144602953
2022,008610,105,11,190113,01,1,1,41,1,1,1,2,NA,10,20,9,74.1346282958984,19,30,138,58509,1122.08948869357,5,3,3,4,Urbana,23022.603515625,9835.94140625,441.529019590874,188.634337680681,7.02294784109604,6.09024374742158,5.23981041980273
2022,008610,105,11,190113,02,1,2,43,1,2,1,2,NA,42,NA,8,41.1654357910156,19,42,126,23483,450.35853395189,5,3,3,4,Urbana,23022.603515625,9835.94140625,441.529019590874,188.634337680681,6.11004400764917,6.09024374742158,5.23981041980273
2022,008610,160,11,190113,03,1,2,39,5,3,1,2,NA,98,NA,10,45.4184989929199,19,98,70,3828,73.4136382901603,5,3,2,4,Urbana,5131.75732421875,3288.75415039062,98.417182861305207,63.0719455647965,4.2961097261282,4.5892154113877,4.14427606790545
2022,008611,009,11,190113,01,1,2,47,5,1,1,1,1,36,NA,8,28.6282653808594,19,36,132,7638,146.482071384599,5,3,3,4,Urbana,5885.4482421875,6305.6416015625,112.871517353034,120.930013512146,4.98690304134081,4.72625015724595,4.79521197753245
2022,008611,023,11,190113,01,1,1,60,2,1,1,2,NA,77,NA,4,50.5246810913086,19,77,91,43303,830.467810574402,5,3,3,4,Urbana,10195.546875,4929.742578125,195.530875248596,94.5429306410844,6.72198916921057,5.27571829661618,4.54905402383835
2022,008611,048,11,190113,01,1,1,48,2,1,1,2,NA,77,NA,10,45.5104064941406,19,77,91,29029,556.720090367049,5,3,3,4,Urbana,8400.119140625,5573.33251953125,161.098042890307,106.885741290401,6.32206258285705,5.08201314169391,4.6717604255088
2022,008611,048,11,190113,02,1,2,44,2,2,1,2,NA,21,NA,10,31.7765254974365,19,21,147,1014,19.4465593589923,5,3,3,4,Urbana,8400.119140625,5573.33251953125,161.098042890307,106.885741290401,2.96767015770648,5.08201314169391,4.6717604255088
2022,008611,116,11,190113,01,1,2,59,5,1,1,2,NA,0,NA,10,34.3487243652344,19,0,168,32926,631.457015240809,5,3,3,4,Urbana,26481.123046875,6493.39599609375,507.856736907134,124.530779762801,6.44802987176332,6.23019939384273,4.82455291235965
2022,008611,130,11,190113,01,1,1,40,2,1,1,2,NA,54,NA,6,57.2261924743652,19,54,114,13238,253.879243386923,5,3,2,4,Urbana,3048.32682291667,2418.80322265625,58.4610143071572,46.3879688827482,5.53685873423422,4.06836010998002,3.83704013429032
2022,008615,032,11,190113,01,1,1,35,1,1,1,2,NA,77,NA,8,44.4798164367676,19,77,91,58911,1129.79907139802,5,3,3,4,Urbana,17468.82421875,15467.294921875,335.018271303476,296.632809488444,7.02979508297369,5.81418507154216,5.69249504222543
2022,008615,060,11,190113,01,1,2,36,5,1,1,1,1,48,NA,6,34.6589775085449,19,48,120,11872,227.68200464492801,5,3,3,4,Urbana,4578.6376953125,4310.72705078125,87.8094178749648,82.6714097371119,5.42794993896251,4.4751687599793,4.4148738317031
2022,008615,074,12,190113,03,1,2,24,6,3,1,2,NA,54,NA,8,38.9343528747559,19,54,114,15531,297.854549708589,5,3,3,4,Urbana,9896.415625,4306.846875,189.79411626511,82.5969954682229,5.69660527912536,5.24593988603837,4.41397330538864
2022,008615,074,12,190113,04,1,2,22,6,3,1,2,NA,48,NA,8,38.9343528747559,19,48,120,19662,377.079142126733,5,3,3,4,Urbana,9896.415625,4306.846875,189.79411626511,82.5969954682229,5.93245509148222,5.24593988603837,4.41397330538864
2022,008615,100,11,190113,01,1,1,44,2,1,1,2,NA,40,NA,11,56.5723342895508,19,40,128,24681,473.333857533816,5,3,3,4,Urbana,10070.2509765625,8959.326171875,193.127942185082,171.822552483176,6.15980096939239,5.26335288215128,5.14646227266455
2022,008615,112,11,190113,01,1,1,31,1,1,1,2,NA,0,20,10,64.7898254394531,19,20,148,78078,1497.38507064241,5,3,3,4,Urbana,60445.8671875,14513.17578125,1159.23485627957,278.33464922837,7.31147557956016,7.05551545980869,5.62882416393817
2022,008615,112,11,190113,02,1,2,30,1,2,1,1,2,40,NA,10,49.7673873901367,19,40,128,42081,807.03221339818106,5,3,3,4,Urbana,60445.8671875,14513.17578125,1159.23485627957,278.33464922837,6.69336358494313,7.05551545980869,5.62882416393817
2022,008620,005,11,190113,01,1,1,33,2,1,1,2,NA,60,NA,8,65.5386581420898,19,60,108,29177,559.558444198539,5,3,3,4,Urbana,10848.4303385417,4768.5009765625,208.051917682785,91.4506284952026,6.32714798020287,5.33778765279952,4.51579924736878
2022,008620,005,11,190113,02,1,2,30,2,2,1,1,1,3,NA,6,50.3425941467285,19,3,165,2296,44.032840520953,5,3,3,4,Urbana,10848.4303385417,4768.5009765625,208.051917682785,91.4506284952026,3.78493573099481,5.33778765279952,4.51579924736878
2022,008620,019,11,190113,01,1,2,51,5,1,1,2,NA,56,NA,11,26.3535079956055,19,56,112,44652,856.339022187105,5,3,3,4,Urbana,26102.548828125,8585.28125,500.596415391645,164.649094124032,6.75266635168997,6.21580021834808,5.10381650697931
2022,008620,034,11,190113,01,1,1,55,2,1,1,2,NA,40,NA,10,36.3966827392578,19,40,128,33005,632.972082488699,5,3,3,4,Urbana,16513.6315104167,5214.66178385417,316.699522090575,100.007130095452,6.45042631767822,5.75795344451464,4.60524148440082
2022,008620,034,11,190113,02,1,2,54,2,2,1,2,NA,0,NA,11,26.3535079956055,19,0,168,39164,751.089793624827,5,3,3,4,Urbana,16513.6315104167,5214.66178385417,316.699522090575,100.007130095452,6.62152521002931,5.75795344451464,4.60524148440082
